Metabolites	GTP	L-serine	ATP(4-)	L-tyrosine	(R)-Pantothenate	Homovanillate	5-oxoprolinate	L-saccharopinate(1-)	S-Sulfo-L-cysteine	beta-hydroxy-beta-methylbutyrate	D-glucose	L-2-aminoadipate(1-)	D-glycerate	myo-inositol	L-glutamate(1-)	L-phenylalanine	Urate	CDPcholine	Citrate	D-gluconate	Taurine	(S)-lactate	L-tryptophan	carnosine	Deoxyinosine	L-glutamine	Reduced glutathione	taurocholic acid	glutathione disulfide	L-histidine	L-threonine	galactitol	N-acetylneuraminate
S1	0	4	4	7	7	5	5	5	6	6	7	6	6	6	4	6	4	6	5	6	6	5	3	6	4	5	3	5	4	7	6	9	5
S2	4	0	4	3	4	4	3	4	2	5	8	6	3	7	3	3	5	5	3	7	3	2	3	4	5	4	2	4	3	5	3	8	2
S3	4	4	0	4	4	2	5	5	5	5	5	5	5	6	4	5	5	3	3	6	5	4	5	4	4	5	4	4	5	4	4	7	4
S4	7	3	4	0	7	4	6	6	5	5	8	8	5	7	5	1	7	5	5	9	4	4	6	6	7	6	4	5	5	6	6	9	4
S5	7	4	4	7	0	6	5	6	4	7	8	7	6	9	5	7	8	7	6	9	4	5	7	7	7	6	5	5	6	8	6	11	5
S6	5	4	2	4	6	0	6	6	6	7	7	7	6	8	5	5	6	3	5	8	7	5	5	5	6	6	4	6	5	4	6	7	5
S7	5	3	5	6	5	6	0	2	3	7	9	4	5	8	1	5	6	7	4	9	5	4	4	5	8	2	2	6	3	4	4	10	4
S8	5	4	5	6	6	6	2	0	4	6	9	2	5	8	1	5	6	7	3	9	6	4	6	5	7	2	2	5	3	4	3	10	4
S9	6	2	5	5	4	6	3	4	0	7	9	6	4	8	3	5	7	6	4	8	4	3	5	5	7	4	3	5	4	6	4	9	3
S10	6	5	5	5	7	7	7	6	7	0	9	6	7	9	6	4	8	8	5	10	6	6	7	6	8	6	5	5	6	7	6	10	6
S11	7	8	5	8	8	7	9	9	9	9	0	9	6	3	8	9	8	5	7	4	9	8	7	8	7	9	8	8	9	9	8	3	6
S12	6	6	5	8	7	7	4	2	6	6	9	0	7	9	3	7	8	8	5	10	6	6	7	6	8	4	4	5	5	6	5	10	6
S13	6	3	5	5	6	6	5	5	4	7	6	7	0	8	5	6	8	6	4	6	5	3	5	5	5	6	5	6	6	6	6	5	3
S14	6	7	6	7	9	8	8	8	8	9	3	9	8	0	7	8	8	6	6	5	8	7	7	7	8	8	7	8	8	8	9	6	5
S15	4	3	4	5	5	5	1	1	3	6	8	3	5	7	0	4	5	6	3	8	5	4	5	4	7	1	1	5	2	3	3	9	4
S16	6	3	5	1	7	5	5	5	5	4	9	7	6	8	4	0	6	6	5	9	5	5	5	6	7	5	3	5	4	7	6	10	5
S17	4	5	5	7	8	6	6	6	7	8	8	8	8	8	5	6	0	7	6	7	8	7	7	6	3	6	5	7	6	7	8	10	7
S18	6	5	3	5	7	3	7	7	6	8	5	8	6	6	6	6	7	0	5	8	7	5	6	6	7	7	5	7	6	5	7	6	3
S19	5	3	3	5	6	5	4	3	4	5	7	5	4	6	3	5	6	5	0	8	5	3	5	3	5	4	4	4	5	4	4	8	3
S20	6	7	6	9	9	8	9	9	8	10	4	10	6	5	8	9	7	8	8	0	9	7	8	9	7	9	7	9	8	10	9	7	7
S21	6	3	5	4	4	7	5	6	4	6	9	6	5	8	5	5	8	7	5	9	0	4	6	6	8	6	5	1	6	7	6	10	4
S22	5	2	4	4	5	5	4	4	3	6	8	6	3	7	4	5	7	5	3	7	4	0	4	4	6	5	4	5	5	5	5	8	2
S23	3	3	5	6	7	5	4	6	5	7	7	7	5	7	5	5	7	6	5	8	6	4	0	6	7	6	4	6	5	7	6	10	4
S24	6	4	4	6	7	5	5	5	5	6	8	6	5	7	4	6	6	6	3	9	6	4	6	0	6	5	5	5	6	1	6	9	4
S25	4	5	4	7	7	6	8	7	7	8	7	8	5	8	7	7	3	7	5	7	8	6	7	6	0	7	6	7	7	7	7	8	6
S26	5	4	5	6	6	6	2	2	4	6	9	4	6	8	1	5	6	7	4	9	6	5	6	5	7	0	2	5	3	4	4	10	5
S27	3	2	4	4	5	4	2	2	3	5	8	4	5	7	1	3	5	5	4	7	5	4	4	5	6	2	0	4	1	4	4	8	4
S28	5	4	4	5	5	6	6	5	5	5	8	5	6	8	5	5	7	7	4	9	1	5	6	5	7	5	4	0	5	6	5	9	5
S29	4	3	5	5	6	5	3	3	4	6	9	5	6	8	2	4	6	6	5	8	6	5	5	6	7	3	1	5	0	5	5	9	5
S30	7	5	4	6	8	4	4	4	6	7	9	6	6	8	3	7	7	5	4	10	7	5	7	1	7	4	4	6	5	0	6	9	5
S31	6	3	4	6	6	6	4	3	4	6	8	5	6	9	3	6	8	7	4	9	6	5	6	6	7	4	4	5	5	6	0	10	5
S32	9	8	7	9	11	7	10	10	9	10	3	10	5	6	9	10	10	6	8	7	10	8	10	9	8	10	8	9	9	9	10	0	7
S33	5	2	4	4	5	5	4	4	3	6	6	6	3	5	4	5	7	3	3	7	4	2	4	4	6	5	4	5	5	5	5	7	0
